order_id,order_date,customer_id,product_id,quantity,unit_price,discount,sales,profit
O00001,2024-09-02,C0227,P046,1,1026.09,0.0,1026.09,694.53
O00002,2024-07-19,C0173,P024,2,665.45,0.1,1197.81,385.83
O00003,2025-08-25,C0519,P039,6,240.05,0.0,1440.3,-3834.36
O00004,2024-01-24,C0751,P001,6,546.74,0.15,2788.37,-1771.81
O00005,2024-09-14,C0603,P018,3,943.73,0.2,2264.95,1967.17
O00006,2024-07-23,C0511,P058,7,1114.65,0.1,7022.3,6864.31
O00007,2024-07-18,C0738,P035,7,615.36,0.0,4307.52,2625.0
O00008,2024-05-21,C0720,P053,6,858.22,0.1,4634.39,1335.53
O00009,2025-10-28,C0406,P014,6,465.85,0.0,2795.1,-1591.92
O00010,2024-10-03,C0088,P018,6,943.73,0.15,4813.02,4217.46
O00011,2024-11-01,C0508,P059,2,66.68,0.05,126.69,-364.25
O00012,2024-10-08,C0499,P060,5,303.49,0.0,1517.45,985.75
O00013,2025-12-17,C0222,P053,7,858.22,0.0,6007.54,2158.87
O00014,2024-09-04,C0680,P020,2,921.34,0.1,1658.41,567.97
O00015,2024-09-06,C0696,P049,1,603.63,0.15,513.09,468.4
O00016,2024-08-27,C0265,P028,3,586.16,0.05,1670.56,775.75
O00017,2024-08-27,C0382,P051,2,174.29,0.05,331.15,-1018.71
O00018,2024-03-06,C0157,P052,7,1125.55,0.1,7090.96,1993.7
O00019,2025-03-17,C0143,P027,4,1014.33,0.1,3651.59,2000.67
O00020,2024-01-19,C0213,P019,5,46.28,0.1,208.26,-4035.44
O00021,2024-06-14,C0293,P059,7,66.68,0.0,466.76,-1251.53
O00022,2024-05-27,C0219,P028,6,586.16,0.05,3341.11,1551.49
O00023,2024-08-01,C0122,P026,6,39.15,0.15,199.66,-5134.4
O00024,2025-07-07,C0358,P040,7,56.66,0.0,396.62,-1551.13
O00025,2025-03-14,C0499,P057,5,743.47,0.0,3717.35,2875.65
O00026,2025-12-25,C0261,P008,2,635.81,0.0,1271.62,514.08
O00027,2024-09-13,C0427,P060,6,303.49,0.0,1820.94,1182.9
O00028,2025-11-09,C0218,P026,3,39.15,0.1,105.7,-2561.33
O00029,2024-02-02,C0564,P002,3,787.94,0.0,2363.82,-210.63
O00030,2025-01-03,C0519,P019,5,46.28,0.05,219.83,-4023.87
O00031,2025-08-06,C0769,P028,3,586.16,0.0,1758.48,863.67
O00032,2025-01-23,C0043,P041,1,256.22,0.15,217.79,-140.95
O00033,2025-11-13,C0683,P034,7,1165.94,0.1,7345.42,4145.37
O00034,2024-08-17,C0273,P009,4,57.81,0.05,219.68,-815.84
O00035,2024-01-25,C0053,P030,5,81.03,0.1,364.64,-267.96
O00036,2025-07-19,C0552,P014,6,465.85,0.0,2795.1,-1591.92
O00037,2024-02-19,C0138,P017,5,517.11,0.1,2327.0,742.5
O00038,2025-07-13,C0141,P043,5,330.9,0.1,1489.05,-1563.85
